data,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2008-06-30,11.375,15.625,15.9375,13.875,16.625,17.525,18.916666666666668,9.958333333333334,18.125,15.75,12.125,11.5,13.25,17.541666666666668,4.0,8.0625,8.1875,11.75,12.5,0.0
2008-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.0,0.25,0.0
2008-08-31,0.0625,0.0,0.03125,0.08333333333333333,0.225,0.025,0.08333333333333333,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09375,0.0,0.0,0.0,0.0
2008-09-30,14.9375,16.75,13.96875,17.75,14.95,11.975,8.333333333333334,17.25,7.375,10.3125,11.6875,9.75,13.125,8.375,36.458333333333336,19.625,24.0625,17.125,20.9375,41.2
2008-10-31,22.6875,22.166666666666668,46.84375,53.083333333333336,42.6,28.65,27.416666666666668,47.416666666666664,28.0625,60.6875,93.3125,48.75,72.20833333333333,29.916666666666668,84.45833333333333,114.40625,86.625,104.0,69.3125,72.1
2008-11-30,108.875,90.02083333333333,166.515625,122.41666666666667,125.5875,103.4875,69.04166666666667,128.20833333333334,88.09375,102.21875,113.34375,112.6875,107.97916666666667,94.60416666666667,128.375,125.78125,108.9375,93.25,88.0625,175.7
2008-12-31,156.875,146.8125,128.78125,128.79166666666666,133.45,122.2125,123.10416666666667,173.75,180.5625,204.96875,241.65625,226.9375,183.89583333333334,153.02083333333334,233.3125,220.109375,183.75,194.34375,189.5625,369.4
2009-01-31,103.3125,112.04166666666667,131.34375,258.9583333333333,178.85,136.025,195.29166666666666,225.70833333333334,250.3125,231.5,235.5625,249.625,232.29166666666666,257.0833333333333,284.5833333333333,245.5,255.625,207.625,222.4375,20.7
2009-02-28,265.9375,268.0833333333333,294.140625,283.1041666666667,287.975,279.975,295.5625,237.91666666666666,275.375,291.84375,276.375,257.25,271.25,264.3125,244.70833333333334,279.09375,275.1875,333.5625,285.3125,342.0
2009-03-31,237.09375,240.60416666666666,191.03125,187.29166666666666,170.8875,173.775,133.33333333333334,166.52083333333334,160.875,150.53125,177.15625,154.6875,171.29166666666666,163.45833333333334,237.375,207.9375,248.84375,203.28125,232.59375,69.6
